time,msd
51500,3.68795
51550,3.7096
51600,3.72612
51650,3.74176
51700,3.75132
51750,3.74444
51800,3.73898
51850,3.73036
51900,3.7048
51950,3.67968
52000,3.67581
52050,3.6752
52100,3.67932
52150,3.70458
52200,3.71992
52250,3.71724
52300,3.70618
52350,3.69495
52400,3.6874
52450,3.67576
52500,3.67358
52550,3.68147
52600,3.69148
52650,3.69312
52700,3.69897
52750,3.70842
52800,3.70787
52850,3.70913
52900,3.70813
52950,3.69861
53000,3.68962
53050,3.68627
53100,3.69277
53150,3.69605
53200,3.7019
53250,3.71203
53300,3.71851
53350,3.73123
53400,3.74486
53450,3.76042
53500,3.7731
53550,3.77592
53600,3.78889
53650,3.79937
53700,3.80324
53750,3.81114
53800,3.80675
53850,3.80088
53900,3.79634
53950,3.78768
54000,3.78864
54050,3.80057
54100,3.80448
54150,3.79729
54200,3.79218
54250,3.78307
54300,3.77627
54350,3.77946
54400,3.78761
54450,3.79606
54500,3.81181
54550,3.82497
54600,3.83381
54650,3.8409
54700,3.84574
54750,3.8543
54800,3.84831
54850,3.82602
54900,3.81047
54950,3.79845
55000,3.79394
55050,3.79804
55100,3.79516
55150,3.80008
55200,3.80832
55250,3.81561
55300,3.83305
55350,3.84921
55400,3.8579
55450,3.8747
55500,3.88117
55550,3.87102
55600,3.86762
55650,3.85971
55700,3.85122
55750,3.84278
55800,3.83789
55850,3.84036
55900,3.845
55950,3.85241
56000,3.85746
56050,3.86705
56100,3.87362
56150,3.86569
56200,3.84994
56250,3.84003
56300,3.84423
56350,3.86026
56400,3.8778
56450,3.89076
56500,3.90076
56550,3.89201
56600,3.88032
56650,3.88166
56700,3.8878
56750,3.90492
56800,3.92128
56850,3.93092
56900,3.94094
56950,3.93497
57000,3.91544
57050,3.88794
57100,3.86034
57150,3.84691
57200,3.83739
57250,3.83555
57300,3.8511
57350,3.87251
57400,3.89597
57450,3.91971
57500,3.93577
57550,3.94692
57600,3.95102
57650,3.9396
57700,3.91991
57750,3.89571
57800,3.87523
57850,3.86718
57900,3.8679
57950,3.87626
58000,3.88462
58050,3.89352
58100,3.89722
58150,3.89848
58200,3.90177
58250,3.88812
58300,3.88233
58350,3.90407
58400,3.91887
58450,3.91857
58500,3.91247
58550,3.90179
58600,3.88584
58650,3.86454
58700,3.8418
58750,3.82304
58800,3.82659
58850,3.84925
58900,3.87244
58950,3.8987
59000,3.92467
59050,3.94062
59100,3.94247
59150,3.92968
59200,3.90397
59250,3.87057
59300,3.84507
59350,3.84115
59400,3.84645
59450,3.85865
59500,3.88351
59550,3.90416
59600,3.90585
59650,3.90662
59700,3.91511
59750,3.91503
59800,3.91987
59850,3.93424
59900,3.93753
59950,3.9337
60000,3.94203
60050,3.95947
60100,3.97182
60150,3.97308
60200,3.96384
60250,3.95387
60300,3.94703
60350,3.94819
60400,3.95224
60450,3.95862
60500,3.96989
60550,3.98657
60600,4.00754
60650,4.02533
60700,4.03548
60750,4.02457
60800,3.99309
60850,3.96591
60900,3.95948
60950,3.9641
61000,3.97236
61050,3.98573
61100,3.99716
61150,3.99718
61200,3.98151
61250,3.97495
61300,3.98324
61350,3.98291
61400,3.97626
61450,3.97823
61500,3.99129
61550,4.00512
61600,4.01271
61650,4.02162
61700,4.02828
61750,4.02461
61800,4.02407
61850,4.0233
61900,4.02202
61950,4.02245
62000,4.02795
62050,4.03792
62100,4.04264
62150,4.0419
62200,4.03086
62250,4.02639
62300,4.02671
62350,4.02161
62400,4.02194
62450,4.02663
62500,4.02712
62550,4.03357
62600,4.04169
62650,4.03364
62700,4.02884
62750,4.02744
62800,4.02095
62850,4.02602
62900,4.03156
62950,4.03619
63000,4.04349
63050,4.05279
63100,4.07139
63150,4.07724
63200,4.07838
63250,4.07493
63300,4.0591
63350,4.04544
63400,4.03201
63450,4.01766
63500,4.00414
63550,3.99164
63600,3.99076
63650,4.01433
63700,4.04757
63750,4.07728
63800,4.10617
63850,4.11641
63900,4.09653
63950,4.06129
64000,4.02721
64050,4.01224
64100,4.01337
64150,4.02684
64200,4.05542
64250,4.08345
64300,4.09335
64350,4.08071
64400,4.05715
64450,4.03114
64500,4.02624
64550,4.03782
64600,4.05606
64650,4.08369
64700,4.10006
64750,4.09715
64800,4.08021
64850,4.05499
64900,4.04401
64950,4.04925
65000,4.05935
65050,4.08316
65100,4.10159
65150,4.09904
65200,4.09393
65250,4.08087
65300,4.06601
65350,4.04952
65400,4.03155
65450,4.03949
65500,4.04903
65550,4.05739
65600,4.07805
65650,4.08895
65700,4.10686
65750,4.12132
65800,4.1234
65850,4.1162
65900,4.09868
